name,price,area,source
17128255,17,Mitte,airbnb
12014169,22,Mitte,airbnb
10892590,89,Mitte,airbnb
16453518,44,Mitte,airbnb
1968442,85,Mitte,airbnb
16254081,89,Mitte,airbnb
11011645,17,Mitte,airbnb
14244707,22,Mitte,airbnb
221015,53,Mitte,airbnb
17586062,44,Mitte,airbnb
18534873,42,Mitte,airbnb
16409330,17,Mitte,airbnb
9898807,44,Mitte,airbnb
7840320,17,Mitte,airbnb
16053805,11,Mitte,airbnb
6465190,53,Pankow,airbnb
7513780,80,Pankow,airbnb
5618560,121,Pankow,airbnb
1168787,314,Pankow,airbnb
829241,71,Pankow,airbnb
8898967,71,Pankow,airbnb
487133,31,Pankow,airbnb
11036659,44,Pankow,airbnb
10774426,26,Pankow,airbnb
9124340,58,Pankow,airbnb
18504202,44,Pankow,airbnb
15797243,40,Pankow,airbnb
4043341,44,Charlottenburg-Wilm.,airbnb
14103182,31,Charlottenburg-Wilm.,airbnb
16142083,33,Charlottenburg-Wilm.,airbnb
17505340,22,Charlottenburg-Wilm.,airbnb
17383167,26,Charlottenburg-Wilm.,airbnb
7154541,17,Charlottenburg-Wilm.,airbnb
6502910,26,Pankow,airbnb
17837214,71,Pankow,airbnb
2697809,44,Pankow,airbnb
16391647,44,Pankow,airbnb
9247503,22,Pankow,airbnb
10620780,36,Pankow,airbnb
14877692,53,Pankow,airbnb
11297119,31,Pankow,airbnb
5349474,166,Pankow,airbnb
9746092,21,Pankow,airbnb
16392430,44,Pankow,airbnb
17021597,44,Pankow,airbnb
2172749,35,Pankow,airbnb
7511551,56,Pankow,airbnb
6408597,22,Pankow,airbnb
6539848,98,Pankow,airbnb
11457977,58,Pankow,airbnb
17729940,94,Pankow,airbnb
18573539,62,Pankow,airbnb
15429986,32,Pankow,airbnb
281152,53,Pankow,airbnb
18555902,71,Pankow,airbnb
18365897,33,Charlottenburg-Wilm.,airbnb
16736305,62,Pankow,airbnb
14199196,44,Pankow,airbnb
15046534,73,Pankow,airbnb
13575431,44,Pankow,airbnb
1675786,80,Pankow,airbnb
3080746,148,Pankow,airbnb
5824600,65,Pankow,airbnb
7876845,44,Pankow,airbnb
1728597,76,Pankow,airbnb
15093851,134,Pankow,airbnb
18303387,43,Pankow,airbnb
7357179,17,Pankow,airbnb
9056714,67,Pankow,airbnb
14879503,29,Pankow,airbnb
17802926,31,Pankow,airbnb
910642,67,Pankow,airbnb
6859665,49,Pankow,airbnb
17599021,107,Pankow,airbnb
8699160,67,Pankow,airbnb
10649206,58,Pankow,airbnb
4529966,35,Pankow,airbnb
1341707,67,Pankow,airbnb
8589516,53,Pankow,airbnb
1329495,89,Pankow,airbnb
5449281,44,Pankow,airbnb
14539466,27,Pankow,airbnb
4826337,35,Pankow,airbnb
4204729,53,Pankow,airbnb
17425707,134,Pankow,airbnb
13967142,53,Pankow,airbnb
7260489,107,Pankow,airbnb
12418852,85,Pankow,airbnb
571751,41,Pankow,airbnb
14152252,46,Pankow,airbnb
15137902,44,Pankow,airbnb
17665644,28,Reinickendorf,airbnb
18372963,35,Reinickendorf,airbnb
11580064,98,Tempelhof - Schöneberg,airbnb
3403368,26,Tempelhof - Schöneberg,airbnb
16045353,49,Tempelhof - Schöneberg,airbnb
3004570,35,Tempelhof - Schöneberg,airbnb
11816824,24,Tempelhof - Schöneberg,airbnb
